months,clawperc
0,1.0
1,1.0
2,1.0
3,1.0
4,0.8
5,0.8
6,0.8
7,0.8
8,0.8
9,0.8
10,0.8
11,0.8
12,0.8
13,0.7
14,0.7
15,0.7
16,0.7
17,0.7
18,0.7
19,0.7
20,0.7
21,0.7
22,0.7
23,0.7
24,0.7
25,0.6
26,0.6
27,0.6
28,0.6
29,0.6
30,0.6
31,0.6
32,0.6
33,0.6
34,0.6
35,0.6
36,0.6
37,0.5
38,0.5
39,0.5
40,0.5
41,0.5
42,0.5
43,0.5
44,0.5
45,0.5
46,0.5
47,0.5
48,0.5
49,0.3
50,0.3
51,0.3
52,0.3
53,0.3
54,0.3
55,0.3
56,0.3
57,0.3
58,0.3
59,0.3
60,0.3
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
