fund_number,fund_description,fund_name,fund_return_type
1,Aandelen_Fund,EquityVz,Total
2,Rente_Fund,RntVz,Total
3,Mix_Fund,MixVz,Total
4,Vastgoed_Fund,VastgoedFd,Total
5,Deposito_Fund,DepVz,Total
6,IndexPlus_Fund,EuEqVz,Total
7,Emerging_Markets_Fund,EmVz,Total
8,GarantiePlus,DepVz,Total
9,-,-,-
10,Levensloop_HR,DepVz,Total
11,Equity_Holland,HolEqVz,Total
12,IndexPlus_Fund,EuEqVz,Total
13,Equity_Europe,EuEqVz,Total
14,Hypotheek_Rekening,HypVz,Total
15,Equity_North_America,NamEqABVz,Total
16,Equity_Pacific,PacEqVz,Total
17,GAR_Click_95_FND,GarCL95RtVv,Total
18,AEGON_Garantie_Risico,RntVz,Total
19,AEGON_Spaarhypotheek,RntVz,Total
20,USA-Dollar_Fonds,-,-
21,Comfort_Europe,EuEqVz,Total
22,Dynamic_6,Dyn6Vz,Total
23,Dynamic_4,Dyn4Vz,Total
24,Deposito_Fonds_(Val),DepVz,Total
25,STAATSLENINGEN,AEGON_Staatsleningen,Total
26,STAATSLENINGEN,AEGON_Staatsleningen,Total
27,0,-,Total
28,0,-,Total
29,0,-,Total
30,AOW_afbouw_5,DepVz,Total
31,AOW_afbouw_4,DepVz,Total
32,AOW_afbouw_3,DepVz,Total
33,AOW_afbouw_2,DepVz,Total
34,AOW_afbouw_1,DepVz,Total
35,Axent_VRW,DepVz,Total
36,World_equity_fund,EquityVz,Total
37,Europees_Rente_fund,DepVz,Total
38,Aandelen_Fund_AX,EquityVz,Total
