prod_kd,base_rate,rate_type
231,52.657827705269,logit
230,52.657827705269,logit
197,52.657827705269,logit
196,52.657827705269,logit
195,52.657827705269,logit
194,52.657827705269,logit
166,52.657827705269,logit
165,52.657827705269,logit
164,52.657827705269,logit
163,52.657827705269,logit
162,52.657827705269,logit
155,52.657827705269,logit
154,52.657827705269,logit
153,52.657827705269,logit
152,52.657827705269,logit
151,52.657827705269,logit
150,52.657827705269,logit
149,52.657827705269,logit
148,52.657827705269,logit
147,52.657827705269,logit
146,52.657827705269,logit
145,52.657827705269,logit
144,52.657827705269,logit
121,52.657827705269,logit
120,52.657827705269,logit
94,52.657827705269,logit
80,52.657827705269,logit
79,52.657827705269,logit
76,52.657827705269,logit
72,52.657827705269,logit
0,52.657827705269,logit
