product,safe_system,extra_death_ben,extra_death_pc,extra_death_maxterm,extra_man_fee,fund_to_switch_to,month_start_switch,safe_perc
60_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60_LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60_SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66_0,1.0,0.0,0.0,0.0,0.0,25.0,60.0,0.05
66_SF,1.0,0.0,0.0,0.0,0.0,25.0,60.0,0.05
66_SG,1.0,0.0,0.0,0.0,0.0,25.0,60.0,0.05
66_ZG,1.0,0.0,0.0,0.0,0.0,25.0,60.0,0.05
67_0,1.0,0.0,0.0,0.0,0.0,25.0,60.0,0.05
67_CA,1.0,0.0,0.0,0.0,0.0,25.0,60.0,0.05
67_GB,1.0,0.0,0.0,0.0,0.0,25.0,60.0,0.05
67_GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67_SD,1.0,0.0,0.0,0.0,0.0,25.0,60.0,0.05
67_VG,1.0,1.0,0.035,360.0,0.006,25.0,60.0,0.05
67_VP,1.0,0.0,0.0,0.0,0.0,25.0,60.0,0.05
67_VT,1.0,0.0,0.0,0.0,0.0,25.0,60.0,0.05
68_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
