percentile,category,type_shock,gender,value
0.005,LYF,2+,Females,0.980143855189
0.005,LYF,1,Females,0.767346274916
0.005,SPB,2+,Females,0.980143855189
0.005,SPB,1,Females,0.767346274916
0.005,KBL,2+,Females,0.980143855189
0.005,KBL,1,Females,0.767346274916
0.005,KBO,2+,Females,0.982646696075
0.005,KBO,1,Females,0.820786919624
0.995,LYF,2+,Females,1.019856144811
0.995,LYF,1,Females,1.232653725084
0.995,SPB,2+,Females,1.019856144811
0.995,SPB,1,Females,1.232653725084
0.995,KBL,2+,Females,1.019856144811
0.995,KBL,1,Females,1.232653725084
0.995,KBO,2+,Females,1.017353303925
0.995,KBO,1,Females,1.179213080376
0.005,LYF,2+,Males,0.980143855189
0.005,LYF,1,Males,0.767346274916
0.005,SPB,2+,Males,0.980143855189
0.005,SPB,1,Males,0.767346274916
0.005,KBL,2+,Males,0.980143855189
0.005,KBL,1,Males,0.767346274916
0.005,KBO,2+,Males,0.982646696075
0.005,KBO,1,Males,0.820786919624
0.995,LYF,2+,Males,1.019856144811
0.995,LYF,1,Males,1.232653725084
0.995,SPB,2+,Males,1.019856144811
0.995,SPB,1,Males,1.232653725084
0.995,KBL,2+,Males,1.019856144811
0.995,KBL,1,Males,1.232653725084
0.995,KBO,2+,Males,1.017353303925
0.995,KBO,1,Males,1.179213080376
